Topic,Top Terms,AI-related Terms Count
240,"powers, super, power, devolution, rivalry, exponents, influential, superpowers, transfer, occupier",3
254,"justice, restorative, prevails, prevail, kivu, sense, griesa, reinstituting, pillai, gachacha",3
315,"papua, guinea, new, concurs, papuans, bougainville, acknowledges, downstream, vanuatu, wedged",3
446,"bahrain, kingdom, bahraini, bahrainis, ranked, basel, tier, reaffirms, emir, index",3
488,"recommendations, recommendation, contained, recommend, recommending, detailed, implement, contains, prefigure, interesting",3
506,"momentum, generated, capitalizing, maintain, sagging, gain, poise, imparts, endgame, created",3
573,"armenia, azerbaijan, azerbaijani, karabakh, nagorno, armenian, territories, azerbaijanis, 1993, artillery",3
744,"sustainability, sustainable, greenwashing, requirement, tripod, hype, ablaze, understood, municipality, maximized",3
982,"speeches, speech, text, delivered, corrections, org, languages, eloquent, spoken, heard",3
1132,"pharmaceutical, medicines, prescriptions, generic, drugs, medication, affordable, medicine, prescription, prescribed",3
1303,"campaign, campaigns, ribbon, rs, pink, bestial, derailment, triumphalist, glow, breast",3
1314,"ecosystems, ecosystem, ecological, fragile, compromising, unsustainably, mainstays, footprints, frantic, regenerate",3
1329,"fairness, fair, fairer, lective, unelected, insertion, fearless, oligarchies, ref, rigour",3
1346,"strait, straits, taiwan, sides, across, cross, sabres, arena, busiest, proposing",3
1466,"bougainville, autonomous, referendum, bougainvillean, papua, unbroken, btt, abc, boulevard, bonfire",3
1544,"twenty, century, first, 21st, challenges, ambiguous, restraints, overshadow, remainder, finalizing",3
1631,"energy, modular, reactors, insecurities, dwindling, migrations, renewables, apec, cyber, hydrogen",3
1645,"geothermal, wind, solar, reservoir, hydro, waterfalls, geysers, exploration, roseau, bankable",3
1807,"programme, programmeís, singapore, habitat, tailored, yielded, 73, development, training, ranks",3
1901,"sadc, organ, cen, substantiated, windhoek, politics, liaison, reeling, discharged, brigade",3
1946,"maintaining, loftier, aspirant, maintain, primary, symbolic, body, actor, peace, empowered",3
2038,"weaknesses, shortcomings, diminished, failings, failures, inefficacies, failed, microscope, debilitated, dehumanized",3
2322,"disappointment, disappointments, disappointed, discouragement, spoilers, wary, painstaking, disdain, failures, dismay",3
2339,"pollution, polluted, air, emmissions, polluting, cleanliness, disincentives, cleanly, correspondingly, stifling",3
2390,"patriotism, anthem, patriotic, globalism, patriot, reframed, propagators, upsurge, immanent, memorialize",3
2442,"clean, cleaner, cleanup, estonians, saturday, syringes, 160, dnipro, bottles, 179",3
2465,"vocational, training, tvet, skills, retraining, enrolling, academic, employability, technical, advising",3
2475,"energy, repository, undergirds, irena, affordability, holistically, empowers, sustainable, accessibility, outreach",3
2703,"waiting, waited, edward, escaped, opportune, hoping, await, moment, conscious, ends",3
2720,"glaciers, mountainous, mountain, leopard, snow, kyrgyzstan, melting, kyrgyz, tajikistan, mountains",3
2782,"chairs, co, melinda, gates, chairing, chair, bill, microsoft, sirleaf, consulting",3
2807,"mettle, overhauled, relax, retains, organization, nurturing, powerless, avenues, formally, peacemaking",3
3026,"sustainable, embraces, underpin, economies, unsustainable, constraints, run, economic, germany, transform",3
3061,"founded, 1912, anc, organizationís, shun, genesis, rejoin, dates, spearheaded, organization",3
3160,"consciousness, unacknowledged, regenerating, brains, igniting, adam, disregarding, indicating, indignation, possessing",3
3312,"winds, wind, nesting, breezes, howled, westerly, buffeting, winded, sun, velocity",3
3436,"kuwaiti, prisoners, missing, detainees, kuwaitis, release, burials, clarifying, restitution, captive",3
3485,"limited, financial, technological, resources, constrain, altogether, broadening, technical, scarcity, command",3
3536,"small, smallholder, blueprints, sustainable, blueprint, prioritize, productivity, sustainability, action, attain",3
3655,"grain, tiirkiye, black, ukrainian, exports, ports, fertilizer, istanbul, wheat, ukraine",3
3808,"biological, diversity, bioclimatic, bio, unparalleled, habitat, deposited, yielded, convention, contains",3
3867,"tickets, levy, airline, air, ticket, airplane, tax, travel, surcharge, latterly",3
3925,"confidence, regaining, gain, reassure, expectation, gained, restore, enter, restoring, focusing",3
4004,"grain, ukraine, russia, breadbasket, shortages, ukrainian, inflation, fertilizers, fertilizer, invasion",3
4119,"vision, beamed, excess, redefine, visions, smart, unilaterally, eye, might, function",3
4580,"curtain, iron, 1980s, mikhail, curtains, fissures, fell, gorbachev, dogmatic, relic",3
4597,"blackmail, blackmailed, blackmailing, intimidated, diktats, clever, scandalous, oppress, barbarous, blocking",3
4795,"airport, airports, radios, departing, manas, remodelling, wheels, passengers, flights, constructed",3
4894,"engine, engines, ratings, growth, fuelling, translating, powerful, replaced, generated, rooted",3
5040,"kyrgyzstan, hydropower, hydroelectric, kyrgyz, plants, water, stations, electricity, clean, energy",3
5081,"organs, organ, principal, reassert, responds, tried, entrusted, council, enable, main",3
5199,"crops, varieties, crop, staple, farming, straining, maize, attuned, agriculture, rollout",3
5254,"sustainably, sustainment, sustain, dreamer, foolish, dispensation, transparently, financially, usher, politically",3
5318,"prevails, breeds, prevail, temperature, generate, starting, warm, impose, climate, 2002",3
5344,"unfair, unfairly, unfairness, rectified, typical, intrinsically, untenable, immoral, hardships, shortcomings",3
5367,"habitat, iii, urban, settlements, habitation, spaces, quito, encapsulated, flesh, 169",3
5394,"integrated, integration, integrating, possibility, integral, viable, technologies, aspects, model, approach",3
5396,"maintenance, focuses, decided, maintaining, maintain, contribute, united, nations, international, charter",3
5498,"pan, american, unaids, paho, health, thankful, received, organization, bank, recognition",3
5609,"claims, subcommission, claim, arbiter, incidentally, claimed, examined, safely, unlawful, pending",3
5629,"commercial, expertly, commercialized, retooled, commercialization, profitable, capitalist, manipulation, profit, focuses",3
5706,"pledges, pledged, pledge, wealthier, dozen, occurring, wonder, kept, fulfilled, actually",3
5728,"green, harvested, shift, profitable, energy, generates, pro, ministry, super, rational",3
5814,"claimed, deflect, claim, orphaned, lives, claiming, million, 800, 36, nearly",3
5841,"mainstreaming, mainstream, mainstreamed, nerrdp, erected, locally, assisted, prospect, insist, embarked",3
5922,"organ, organs, principal, implements, supreme, assembly, highest, prime, greatest, general",3
6067,"kravchuk, ukrainian, kiev, usa, mail, leonid, impoverishes, ukraine, journal, stars",3
6138,"approve, millennium, translate, contained, preside, stated, assembly, certain, general, your",3
6242,"quds, qods, committee, chairman, al, chairs, chair, visit, undertake, reaffirmed",3
6243,"powerless, powerlessly, onlooker, enmeshed, riddled, retreated, powerlessness, haves, nots, slaughter",3
26,"aids, hiv, unaids, pandemic, spread, diseases, epidemic, infected, prevalence, infection",2
50,"cyprus, cypriots, cypriot, turkish, greek, turkey, crans, montana, erdogan, bicommunal",2
51,"goals, goal, lofty, set, targets, attainment, achievement, goalposts, attaining, achieving",2
76,"taiwan, china, taiwanese, republic, chinese, participate, participation, admission, invited, meaningful",2
79,"assembly, general, empowered, commemorative, authority, poison, centrality, propose, decision, role",2
80,"generations, generation, succeeding, future, bequeath, save, falls, younger, present, come",2
109,"independence, independent, 1975, anniversary, 1980, gained, regained, celebrated, 1960, granting",2
116,"gratitude, appreciation, express, thank, thanks, sincere, profound, deepest, opportunity, deep",2
136,"trading, trade, unfair, rules, preferences, equitable, fair, discriminatory, engine, system",2
140,"union, african, chairman, chairperson, launching, unionís, subregional, birth, commission, thirteenth",2
189,"objectives, objective, attain, attainment, realization, parpa, accomplish, desired, achieve, lofty",2
190,"thailand, thai, bangkok, sufficiency, philosophy, sep, unctad, bcg, circular, king",2
267,"government, my, cough, generalities, logjam, dedicates, harp, decided, waits, committed",2
284,"capacity, capacities, building, absorption, technical, constraints, capmatch, assistence, enhancement, fix",2
286,"organizations, fédération, internationale, football, organization, international, energize, chongryon, renown, association",2
287,"scourge, scourges, eradicate, combat, combating, eliminate, contain, eliminating, rids, entrails",2
325,"results, mixed, yield, encouraging, obtained, yielded, positive, yielding, desired, achieved",2
340,"experience, experiences, share, gained, knowledge, shows, shown, sharing, duplicated, rushes",2
358,"kenya, nairobi, kenyan, kenyatta, kenyans, uhuru, unon, naivasha, igad, communiqué",2
370,"paraguay, paraguayan, paraguayans, guarani, bastos, foreigners, itaipu, roa, languages, augusto",2
409,"kuwait, kuwaiti, emphasizes, 162, state, renews, reaffirms, 833, thinks, 1990",2
427,"ghana, ghanaians, nkrumah, ghanaian, kwame, accra, jackson, michael, 1957, engineer",2
434,"ukraine, russia, ukrainian, crimea, russian, aggression, minsk, donbas, putin, invasion",2
462,"digital, divide, technologies, bridging, digitally, revolution, digitization, digitalization, transformation, technology",2
469,"document, outcome, documents, 223, reaffirmed, adopted, conf, contains, grâce, appraisals",2
476,"humanitarian, aid, assistance, needy, delivery, provision, depoliticization, responder, providing, depopulation",2
481,"gaza, strip, siege, disengagement, teachers, greenhouses, lifted, hrc, rocket, anew",2
515,"organs, organ, principal, representative, affiliated, cicig, grandstanding, assertion, relay, satisfies",2
523,"communications, communication, information, ict, technology, technologies, telecommunications, icts, revolution, informatics",2
569,"missile, missiles, ballistic, rockets, rocket, defence, submarines, abm, fired, anti",2
585,"standard, living, standards, raising, improved, improve, raise, decent, enjoying, higher",2
588,"cooperation, development, refashion, restated, windhoek, redefinition, reorientation, types, developmental, organizing",2
589,"attention, paid, devote, focus, undivided, special, captaincy, given, deserve, focused",2
633,"global, unimagined, foreshadowing, feasible, compile, globally, generators, tailor, globalized, scientifically",2
637,"faith, faiths, abiding, good, profession, steadied, unflinching, fallibility, simplifies, god",2
659,"harmony, harmonious, interfaith, coexistence, prevail, multiconfessional, cart, slackening, civilizations, clerics",2
690,"transnational, corporations, transnationals, oligarchies, companies, organized, belonged, trans, unorganized, orchestrate",2
697,"reform, reforming, organization, quicken, thoroughgoing, organizational, thorough, glaringly, exceedingly, bar",2
700,"crash, plane, airlines, accident, flight, aircraft, mh, passengers, aeroplane, 587",2
739,"millennium, achievement, attainment, achieving, attaining, towards, lags, track, inroads, progress",2
746,"rehabilitation, reconstruction, rehabilitate, rehabilitated, encampment, speedier, haiyan, impaired, recovery, virgin",2
747,"millennium, attainment, attaining, achieving, realization, development, posited, substantively, promulgation, contemplated",2
766,"quartet, restart, wolfensohn, yesterday, assesses, ascertain, relaunched, staunchly, laid, unimplemented",2
844,"multilateral, institutions, institution, organizations, populism, strain, nativism, nativist, retreat, multilateralism",2
864,"stability, firewalls, stable, security, maintaining, multidisciplinary, secure, attaining, normality, hinges",2
872,"gains, consolidate, gain, reversing, won, impressive, wiped, hard, reverse, made",2
899,"financial, resources, mobilize, provision, adequate, additional, available, shored, inhibited, divert",2
909,"instability, unstable, uncertainty, fomented, countervailing, source, incomprehension, explode, flare, inflamed",2
916,"jamaica, jamaican, pattersonís, looks, conspicuously, transcendental, disheartened, saddled, music, irrevocably",2
928,"organs, organ, principal, subsidiary, encompassing, copax, modifications, antagonistic, complementary, parent",2
961,"arena, arenas, fixtures, entertainment, fifa, gaulle, shelved, organizes, diffuse, lagrant",2
968,"fossil, fuels, fuel, dependence, dependency, consumption, importing, imported, importation, cost",2
981,"organized, crime, syndicates, exploits, pernicious, suppress, abdication, firepower, accompanies, delinquency",2
985,"empowerment, women, colloquium, advancement, girls, empowering, potentialities, contradictory, driver, motherhood",2
993,"transfer, technology, transfers, technologies, transferred, pharmaceuticals, contracting, managerial, facilitate, lends",2
1042,"employment, jobs, job, creation, workforce, generate, generating, decent, witchcraft, stunts",2
1047,"food, crises, energy, fuel, triple, flu, triumvirate, crisis, financial, spikes",2
1065,"provisions, ìstandards, statusî, interpretation, unfeasible, antananarivo, xiv, provision, implemented, objects",2
1077,"sustainable, illuminate, deglobalization, peace, sustainability, durable, peacemakers, likelihood, versa, 96",2
1086,"efforts, scorn, effort, drowning, intentioned, unaids, commend, reinforcement, valiant, coordinate",2
1091,"justice, photons, blazing, beforehand, willpower, tranquillity, begets, conferring, prevails, peace",2
1113,"malaise, deregulated, economic, bemoaned, detailing, chronically, boom, ineffectiveness, economies, convulsions",2
1121,"assembly, december, 6th, submitted, general, gathers, 1997, september, proclaimed, msg",2
1151,"aviation, air, icao, civil, airbase, entebbe, flights, mobility, overflying, arua",2
1153,"taiwan, aviation, taiwanese, 23, exclusion, 2758, specialized, partner, participate, inclusion",2
1160,"division, divisions, divide, nicosia, wires, dividing, taw, pyi, retarding, divided",2
1173,"eradicate, eradicating, manoeuvering, taint, nihilism, cleanse, rug, ubiquitous, vocabulary, sweep",2
1196,"maintaining, maintain, field, shines, peace, security, service, moscow, regularly, chances",2
1236,"prevail, prevails, prevlaka, faulkner, prejudgement, prefabricated, prejudicial, consternation, determinant, hatreds",2
1261,"knowledge, geometric, dissemination, dependant, tempt, undersigned, gained, knew, flowed, enriches",2
1263,"relief, emergency, installments, unhindered, aid, availed, adding, succour, rescue, 124",2
1296,"uranium, tailings, enriched, tailing, enrichment, enrich, plutonium, 218, radiation, kyrgyz",2
1319,"portuguese, speaking, language, lusophone, official, languages, uemoa, widely, spoken, vehicle",2
1353,"grateful, gratitude, thank, thanking, organisations, forbidden, graphite, csos, zaida, armenian",2
1355,"sustainable, fledgling, thread, sustains, elaborating, examined, cohesive, development, spectrum, broadest",2
1377,"banded, exacts, devolving, organizes, drafters, invests, returnees, mainstay, timing, states",2
1490,"transnational, organized, crime, wears, links, scruples, palermo, companion, retaining, accumulating",2
1517,"maintenance, peace, actor, evidenced, international, spheres, obstacle, maintaining, condition, restoration",2
1580,"control, disarmament, arms, proliferation, limitation, non, hammarskjold, inspections, prohibiting, detained",2
1583,"model, models, wha, formats, termed, unreliability, clone, foisted, copying, customer",2
1586,"organization, fairy, pet, patronizing, inefficiencies, outlet, tales, endow, insufficiently, imaginary",2
1617,"maintaining, carlos, promoter, cooperatively, mediate, maintain, anchor, fulfils, être, peace",2
1670,"homeland, homelands, spoil, defying, faithful, motherland, objection, humiliated, flagrantly, bargain",2
1691,"cooperation, publish, regularization, economic, technical, corresponds, breakthroughs, multisectoral, deeper, intense",2
1704,"credibility, credible, tarnishes, calming, rests, stake, mars, retains, helplessness, enhances",2
1706,"green, fund, capitalized, operationalization, defray, amplifies, climate, decouple, windhoek, wasteland",2
1715,"minsk, osce, chairmen, chairs, group, co, maligns, menu, regretfully, intensely",2
1762,"friendly, sisterly, finger, outpouring, resounding, generously, stood, organizations, criticism, alleviating",2
1862,"subregional, organizations, regional, mediating, hemispheric, interregional, organizational, multitude, suited, subregion",2
1864,"channels, television, channel, radio, broadcast, broadcasting, broadcasts, communication, airtime, frequencies",2
1868,"before, sword, ever, till, edged, locate, reluctance, dozen, anew, claim",2
1919,"equality, equal, stoutly, equals, intents, complain, large, confuse, fights, big",2
1933,"maghreb, magreb, maghrebian, maghreban, reactivate, interacts, degenerate, homogeneous, reactivating, inevitability",2
1981,"affairs, managing, unreal, management, overseeing, evidently, examining, flawed, conception, interactions",2
2004,"sustainable, facets, minimize, security, expense, sustainability, feel, securing, earth, pollution",2
2021,"rainforest, tropical, rainforests, forests, forest, c02, borneo, forestry, peten, choco",2
2027,"century, explains, bloody, outgoing, completed, involving, centuries, exchange, dynamic, certainly",2
2059,"affairs, affair, ordering, rejoices, outspoken, stead, broadcasting, polycentric, poignant, sacrificing",2
2090,"poverty, alleviation, sustainable, elimination, conquest, pervasive, eradicating, reduction, fell, sustainably",2
2102,"occupying, withdraw, withdrawal, raid, withdraws, occupied, power, residence, perimeters, territories",2
2127,"warehouses, organization, 76, recommended, bedrock, naturally, admit, red, sole, formed",2
2180,"pitiless, against, disapproval, applicability, stifle, criticize, refraining, opposes, affiliation, countrymen",2
2201,"technical, technological, financial, wherewithal, recommendation, expert, accessing, material, requisite, assistance",2
2206,"language, languages, languishing, english, 800, hindi, phonetic, linguistically, tetum, overbearing",2
2248,"american, oas, mouthpiece, organization, abstain, pennsylvania, agent, imperial, 47, proposing",2
2249,"sanitation, hygiene, provisioning, unavailable, chikungunya, auction, basic, zika, dengue, sewage",2
2263,"conference, sustainable, 2012, reiterated, planned, organizing, endorsed, development, encourage, conferences",2
2273,"resources, diminution, available, inflow, realistically, engineering, meagre, wisely, restricted, attached",2
2277,"sids, sustainabie, maximizes, incentivize, penalizing, stacked, endogenous, constraint, measurement, oceanic",2
2281,"prices, fuel, food, costs, energy, spikes, meltdowns, nervous, rising, hike",2
2285,"technical, assistance, advice, appreciative, inaugurated, motivation, provision, readily, evolved, stepped",2
2311,"partnership, partnerships, decarbonisation, fashionable, sustainable, eco, ecological, sustainability, colleague, alliance",2
2332,"generosity, giver, hometowns, forbearance, enterprising, repaying, irrigate, whim, draining, rekindled",2
2338,"secretary, conté, secretaries, compatriot, illustrious, endorsement, general, dynamism, la, department",2
2366,"shanghai, eurasian, csto, cis, cooperation, sidelines, organization, beijing, assuming, five",2
2458,"conference, urban, sustainable, housing, twelfth, upheavals, drafted, 2016, chaired, invited",2
2461,"equitable, fair, distribution, balanced, inequitable, contempt, doors, award, machinery, alleviation",2
2474,"cowards, lairs, sunrise, organization, fostered, whatsoever, planned, stands, entire, sure",2
2492,"nepad, africaís, partnership, africa, aiming, development, aims, seeks, reflect, for",2
2514,"information, society, wsis, summit, knocking, knowledge, 2003, geneva, tunisia, relying",2
2534,"assembly, approval, bigger, promptly, weaknesses, acted, igad, general, restructuring, topic",2
2542,"address, impromptu, verse, maiden, addresses, remainder, afternoon, finish, conclude, incomplete",2
2549,"concessions, concession, unpalatable, paternalistic, retaining, logging, painful, postponing, expense, suggestions",2
2573,"justice, administration, aided, system, administer, administering, strengthens, valuable, bill, gaining",2
2591,"chair, swing, multisectoral, professionalism, chairing, sort, skill, front, group, put",2
2641,"detainees, prisoners, prisons, detention, kidnapped, jails, israeli, release, lebanese, abducted",2
2650,"welcome, initiative, initiatives, outlets, tech, praiseworthy, spearheaded, bond, resume, companies",2
2653,"vision, comprehensible, future, proclaims, prompts, finish, exemplified, therein, evolved, brief",2
2676,"forums, forum, multilateral, practising, speeding, trilateral, bilaterally, chairing, chairs, stopping",2
2684,"constraints, constrained, placing, abusive, warrant, inherent, handle, remoteness, impeded, influx",2
2719,"stability, disrupting, tracks, display, choosing, maintenance, maintaining, underpin, stable, voluntarily",2
2728,"23, taiwanese, taiwan, million, china, deny, cognizant, eye, blind, plight",2
2731,"space, frontier, encumbrance, spaces, compounds, everlasting, crowded, furthest, arenas, navigate",2
2762,"aids, fund, hiv, replenishment, fight, unaids, program, health, clinton, entrepreneurs",2
2777,"overseas, assistance, aid, provider, official, packages, incentives, unsustainable, foreign, dependent",2
2828,"coherence, wide, system, delivering, heartened, reviewing, revitalizing, machinery, presents, attaining",2
2837,"processes, outsourcing, processing, obstructed, renders, machine, differ, leverage, knowing, viewed",2
2840,"whittle, principles, undergird, calculated, organization, associations, principle, retain, cherished, adjust",2
2885,"mankind, pair, habit, male, edifice, manipulate, conjunction, suspicion, mistrust, chains",2
2936,"dayton, accord, accords, presupposed, resided, frail, disband, deficiency, bloodiest, pertains",2
2950,"electoral, commission, independent, fixes, complaints, reconfiguration, prerogatives, monitored, deficiencies, provisional",2
2956,"haiti, earthquake, struck, 2610, goave, gonaïves, disasters, gonaives, petit, devastated",2
2966,"sco, organizations, opting, cooperatively, cooperation, organization, puts, stock, cooperative, different",2
2972,"mining, forestry, lumber, quarries, overgrazing, leases, nickel, processing, miners, revamping",2
2983,"faith, reaffirmed, misplaced, quoted, yourself, bible, christianity, imagined, affirmation, chairing",2
3008,"learning, education, curricula, teacher, training, rights, incorporate, supposed, awareness, helps",2
3035,"fratricidal, deterioraiting, fratricide, ripping, privations, assail, bled, blazed, bud, moribund",2
3053,"integration, synergistic, eased, presentation, weaker, dimensions, easing, paved, aiming, integrated",2
3082,"revenue, revenues, noone, dwindled, collections, prudently, strains, earning, shortfalls, decline",2
3089,"hoc, ad, liaison, committee, interministerial, habit, evaluated, ripe, revised, chairing",2
3113,"decisions, raises, decision, heard, decide, count, chosen, bold, choose, big",2
3115,"group, working, open, designing, sustainable, tasked, chairs, proposed, goals, development",2
3117,"mogadishu, jowhar, balad, baidoa, vacated, exams, ghraib, outskirts, cleared, spontaneous",2
3148,"deepest, deep, express, convey, closing, opportunity, seated, reiterating, take, outset",2
3175,"civil, société, civile, society, des, organizations, organisations, academia, meaningfully, la",2
3185,"convention, comprehensive, terrorism, conclude, international, on, once, universal, against, general",2
3202,"pace, snail, faster, snuffing, 747, sprinted, slow, boeing, accelerating, airplane",2
3205,"recognized, accreditation, recognition, popularity, internationally, validated, hail, duly, widely, unanimously",2
3207,"veto, seats, seat, permanent, power, powers, two, complete, plus, super",2
3213,"losers, winners, win, villains, tinkhundla, won, triumph, labelled, straight, winner",2
3252,"poet, poem, rudaki, poetry, aimé, césaire, rabindranath, poetic, martinique, yehuda",2
3271,"continent, peaceably, inhabit, consolidating, reaches, maintenance, stabilizing, affirms, platforms, prevails",2
3278,"amend, elaborating, agenda, agendas, targets, follow, pledged, pledges, overall, setting",2
3280,"guyana, guiana, shield, rainforest, carbon, forests, iwokrama, entrants, forest, green",2
3295,"reforms, jury, thorough, observes, organization, organisation, needed, overdue, improvements, equipped",2
3322,"telecommunications, telecommunication, trainees, modem, interconnection, installation, computers, harmonized, credits, phone",2
3354,"kuwait, kuwaiti, 1961, fund, loans, soft, grants, certificate, 106, medal",2
3371,"borders, permeability, provisional, edged, destabilizes, porous, disappearing, assumes, recognized, existing",2
3378,"organisation, eleven, prudent, accomplish, organizations, chief, economic, component, alleviate, plight",2
3381,"commend, plaudits, commends, commending, hail, therein, explicitly, chairing, intensive, undertaken",2
3383,"minute, detail, blockade, assembly, occur, general, facts, fought, mentioned, represented",2
3419,"sharif, quds, al, haram, temporal, judaize, spatial, 1267, city, judaism",2
3442,"surveillance, detection, footage, monitoring, conditionality, evade, monitors, air, training, enforcement",2
3461,"culminate, models, interference, development, enable, millions, deal, energy, charter, without",2
3464,"destruction, destroy, pertinent, rests, waiting, division, root, ask, along, hand",2
3466,"gandhi, mahatma, favourite, apostle, vaishnavas, vaishnav, nonviolence, devotional, mohandas, kahiye",2
3487,"powerful, carriers, bow, vastly, prestige, militarily, aircraft, pervasive, endeavoured, weaker",2
3558,"violence, incited, raped, psychological, brutality, pain, killing, violent, against, or",2
3593,"parts, coalesced, unfairly, different, prompt, compared, prevailing, lot, examples, break",2
3612,"opportunities, windows, dedicate, challenges, intertwined, exploit, qualities, accompanied, seize, generate",2
3616,"commitment, cardinal, sustainable, reiterating, solemn, remarks, renewed, unconditional, shape, contained",2
3619,"organizations, subordinate, organizational, chart, allows, system, foremost, enshrined, doubt, moreover",2
3628,"rich, poor, large, big, technologically, small, wealthier, endowed, endless, moderation",2
3640,"turning, point, 1939, hailed, unambiguous, remembered, approaching, probably, marked, history",2
3662,"twenty, nomenclature, century, acquit, eccas, golden, organization, entails, modernization, notably",2
3726,"endorses, organization, believes, sensitive, likewise, organizations, willingness, ultimately, helped, closer",2
3740,"eco, organisation, cooperation, organization, economic, devoted, list, declaration, others, leaders",2
3749,"treaty, csto, cis, collective, testament, organization, substantive, chair, gives, partner",2
3753,"continuum, prevention, paints, unease, logically, sustaining, treats, 88, secretary, departments",2
3759,"agriculture, food, fao, identification, estimates, winning, indicate, organization, failing, headquarters",2
3801,"karzai, hamid, hâmid, frailty, islamabad, initiation, assassinate, consult, inaugural, afghans",2
3821,"forum, overuse, intergenerational, pivotal, level, urbanization, reduces, policymaking, sustainable, valued",2
3842,"sharing, power, announcement, delicate, provisions, wealth, accord, proved, delivery, discuss",2
3858,"disengagement, punitive, disengage, reprisal, curtailment, curtailed, suspension, vii, considerably, substantially",2
3892,"interference, internal, interfere, affairs, interfered, pretext, colour, advocating, non, undermining",2
3910,"combating, instruction, instigation, shameless, distracted, reacting, supervised, emotions, patriots, reacted",2
3938,"strait, cross, straits, formosa, usher, ideally, semi, solid, rapprochement, relations",2
3943,"integration, aspirant, erected, obstruct, hindered, faithfully, integrated, scheme, harmonious, ultimate",2
3954,"moods, inequalities, jarring, convulsions, nationalism, malaise, populist, chariots, ludicrously, pharma",2
3995,"renaissance, fomented, ran, erased, humanist, troika, rebirth, hasten, blessed, proclaim",2
4006,"powerful, propositions, inseparably, disempowered, hang, wins, sophisticated, logical, historically, frequently",2
