Country,Session,Year,Sentence,Country Name,Topic,Topic Name
IDN,73,2018,"Decisive actions must be taken to improve access to financing, capacity-building and technology",Indonesia,17,Technology Capacity Building
IDN,73,2018,"As the largest archipelagic country in the world, we are fully aware of the adverse impact of climate change, as the countries that have to face this issue most acutely have been the small island developing States",Indonesia,11,Climate Change and Renewable Energy
BOL,73,2018,The first is climate change,"Bolivia, Plurinational State of",11,Climate Change and Renewable Energy
BOL,73,2018,"Climate change is an inseparable consequence of capitalism, overproduction and patterns of consumption","Bolivia, Plurinational State of",11,Climate Change and Renewable Energy
BOL,73,2018,"The second major threat is the arms race, the culture of war and the possibility of a nuclear disaster","Bolivia, Plurinational State of",0,Nuclear Weapons
SRB,73,2018,"That will help us deal with climate change, by far the biggest challenge ahead of us",Serbia,11,Climate Change and Renewable Energy
GNQ,73,2018,"Human capacity-building has achieved such levels that citizens are able to responsibly manage national development, which   has   created   an   atmosphere of trust between national political forces and the people, who feel empowered to realize their own objectives",Equatorial Guinea,17,Technology Capacity Building
SYR,73,2018,"We fully condemn and reject the use of chemical weapons under any circumstances, wherever or whenever it occurs and regardless of the target",Syrian Arab Republic,2,Chemical Weapons
SYR,73,2018,"That  is why Syria completely eliminated its chemical programme and fulfilled all its commitments to the Organization for the Prohibition of Chemical Weapons (OPCW), as confirmed by numerous OPCW reports",Syrian Arab Republic,2,Chemical Weapons
SYR,73,2018,"Unfortunately, every time we express our readiness to receive objective and professional investigative teams to investigate the alleged use of chemical weapons, those countries have blocked such efforts because they know that the conclusions of the investigations would not satisfy them given the ill intentions they harbour against Syria",Syrian Arab Republic,2,Chemical Weapons
RUS,73,2018,Baseless accusations of interference in the internal affairs of various countries are being made alongside overt attempts to undermine and topple democratically elected Governments,Russian Federation,20,Election Interference
RUS,73,2018,"This is a warning against any further provocations by terrorists and their patrons involving the use of chemical weapons, which would be unacceptable",Russian Federation,2,Chemical Weapons
RUS,73,2018,"We are seeing increasingly negative  trends  in  the activities of the Organization for the Prohibition of Chemical Weapons (OPCW) whereby the West is attempting to transform the Technical Secretariat into an instrument for punishing undesirable Governments, which risks compromising the OPCW’s independent professional status, the universality of the Chemical Weapons Convention and the  exclusive  prerogatives of the Security Council",Russian Federation,2,Chemical Weapons
RUS,73,2018,"In the past couple of years, the debate on abuses in cyberspace has become more intense",Russian Federation,19,Cyberattacks and Offensive Cyber
DNK,73,2018,Education provides the foundations for knowledge and for harnessing the technologies and opportunities of tomorrow,Denmark,15,Technology in Education
MYS,73,2018,"We are forever preparing for war, inventing more and more destructive weapons",Malaysia,0,Nuclear Weapons
MYS,73,2018,"We now have nuclear bombs that are capable of destroying whole cities, but we also now know that the radiation emanating from the explosion will affect even the country that uses the bomb",Malaysia,0,Nuclear Weapons
MYS,73,2018,A nuclear war would destroy the world,Malaysia,0,Nuclear Weapons
BGD,73,2018,"With the launch of the work on the Rooppur nuclear power plant, we have moved a step ahead in the peaceful use of nuclear energy",Bangladesh,9,Nuclear Energy
AUT,73,2018,They also demand the absolute rejection of biological weapons,Austria,1,Biological Weapons
AUT,73,2018,"Disarmament, non-proliferation and arms control are essential for global security",Austria,0,Nuclear Weapons
AUT,73,2018,"We are convinced that if we wish to really move towards nuclear disarmament, the ratification of the Comprehensive Nuclear-Test-Ban Treaty is of paramount importance",Austria,0,Nuclear Weapons
AUT,73,2018,The destructive power of nuclear weapons has made it imperative that the legal prohibition of nuclear war be strictly observed in practice,Austria,0,Nuclear Weapons
AUT,73,2018,"Will we see an increase in electric and other types of engines? Innovation, market forces and political action will decide",Austria,12,Electric Cars
MEX,73,2018,Weapons of mass destruction are not the only threat to society,Mexico,0,Nuclear Weapons
ATG,73,2018,It is why we would like to see all countries eliminate their nuclear arsenals,Antigua and Barbuda,0,Nuclear Weapons
ATG,73,2018,Those are the realities of climate change,Antigua and Barbuda,11,Climate Change and Renewable Energy
SLB,73,2018,Climate change is now the greatest threat facing humankind,Solomon Islands,11,Climate Change and Renewable Energy
SLB,73,2018,"In our efforts to reduce our reliance on fossil  fuels and meet our intended nationally determined contributions, Solomon Islands remains committed to transitioning to the use of renewable energy",Solomon Islands,11,Climate Change and Renewable Energy
PRK,73,2018,"Even before the Democratic People’s Republic of Korea-United States summit, our Government took significant goodwill measures, such as stopping nuclear and intercontinental ballistic-missile tests, dismantling the nuclear  test site in a transparent manner and committing not to transfer nuclear weapons or nuclear technology under any circumstances","Korea, Democratic People's Republic of",0,Nuclear Weapons
PRK,73,2018,"First, the United States acquired nuclear weapons before we did and is the only country that  has actually used them in war","Korea, Democratic People's Republic of",0,Nuclear Weapons
PRK,73,2018,"Even after that, the United States kept positioning strategic nuclear arsenals at our doorstep","Korea, Democratic People's Republic of",0,Nuclear Weapons
LKA,73,2018,"In the face of the many challenges that cause poverty, I believe that major efforts are needed in countries heavily affected by climate change in order to help people become prosperous",Sri Lanka,11,Climate Change and Renewable Energy
DZA,73,2018,Global concerns related to nuclear weapons have not reached the current level since the Second World War,Algeria,0,Nuclear Weapons
CHN,73,2018,"To meet the challenges of climate change, it is crucial to achieve sustainable development",China,11,Climate Change and Renewable Energy
BFA,73,2018,The proliferation of small arms and light weapons poses a threat to peace and security in various parts  of the world and is an obstacle to achieving the Sustainable Development Goals,Burkina Faso,0,Nuclear Weapons
BFA,73,2018,"With regard to weapons of mass destruction, we condemn the resurgence of the use of chemical weapons in recent years and call for general and complete disarmament where all weapons of mass destruction concerned",Burkina Faso,2,Chemical Weapons
CRI,73,2018,"Now, together with a group of States and civil society organizations, we are trying to devise a world without nuclear weapons",Costa Rica,0,Nuclear Weapons
CRI,73,2018,"In our view, the only way to ensure that nuclear weapons are never used again under any circumstances is through their total elimination",Costa Rica,0,Nuclear Weapons
CRI,73,2018,"With the adoption of the Treaty on the Prohibition of Nuclear Weapons, the international community decided that the legally binding prohibition of those weapons is a fundamental contribution to the accomplishment of that objective",Costa Rica,0,Nuclear Weapons
ECU,73,2018,We must teach them to love science and to be passionate about technology,Ecuador,15,Technology in Education
GBR,73,2018,"When the Syrian regime used chemical weapons on its people again in April, it was Britain — together with France and America — that took military action to degrade the Syrian regime’s chemical-weapons capability and   deter their use",United Kingdom,2,Chemical Weapons
GNB,73,2018,Climate change has caused an increasing number of severe droughts and floods in many parts of the world,Guinea-Bissau,11,Climate Change and Renewable Energy
PAN,73,2018,"Moreover, we have strengthened the system of higher technical education",Panama,15,Technology in Education
URY,73,2018,"Such an agenda should put special emphasis on the transformation of the energy matrix towards renewable sources and adaptation to verifiable climate change; on making progress in the irrefutible responsibility to protect our environment; and, as members are aware, on the fight for the health of our people, which is the struggle for   life, the main human right that all the beings on this planet have",Uruguay,11,Climate Change and Renewable Energy
URY,73,2018,I am speaking of environmental degradation and the consequences of climate change,Uruguay,11,Climate Change and Renewable Energy
COM,73,2018,"In the current context, the risks of a nuclear detonation are very real",Comoros,0,Nuclear Weapons
COM,73,2018,We have a duty to protect present and future generations from the danger of the use of nuclear weapons,Comoros,0,Nuclear Weapons
COM,73,2018,"While exacerbating the destruction of ecosystems and biodiversity, climate change is also likely to increase poverty and various diseases and lead to an upsurge in climate-related migration, thereby compromising our future and that of future generations",Comoros,11,Climate Change and Renewable Energy
LUX,73,2018,Managing climate change is one of the most important goals of the 2030 Agenda for Sustainable Development,Luxembourg,11,Climate Change and Renewable Energy
LUX,73,2018,"With regard to climate change, specific mechanisms have been developed nationally and internationally and through the private  sector",Luxembourg,11,Climate Change and Renewable Energy
LUX,73,2018,"The means used in the war by the warring parties have been extreme in terms of their violence and cruelty, including the use of chemical weapons, which is both beyond understanding and unacceptable",Luxembourg,2,Chemical Weapons
LUX,73,2018,"It is simply incomprehensible and shameful that the international community has been unable, by means  of veto, to renew an instrument designed to establish the facts and responsibilities for the use of chemical weapons",Luxembourg,2,Chemical Weapons
VCT,73,2018,"However, the prospects for an effective international solution to climate change are rapidly receding",Saint Vincent and the Grenadines,11,Climate Change and Renewable Energy
COD,73,2018,"That is why my country denounces and opposes any interference in the current electoral process, and is determined to finance all of its operational costs","Congo, The Democratic Republic of the",20,Election Interference
SMR,73,2018,"The effects of climate change represent  one  of the greatest challenges of our time because of their unprecedented impact on our lives and, in particular, on the lives of the poorest and most vulnerable",San Marino,11,Climate Change and Renewable Energy
LIE,73,2018,But we have finally charted a way forward by adopting the Treaty on the Prohibition of Nuclear Weapons last year,Liechtenstein,0,Nuclear Weapons
LIE,73,2018,The challenge of climate change is a perfect illustration of the indispensability of the United Nations,Liechtenstein,11,Climate Change and Renewable Energy
ISL,73,2018,"There is no doubt in my mind that climate change is fast becoming the single most serious challenge to global peace, security and development",Iceland,11,Climate Change and Renewable Energy
ISL,73,2018,"While technology will be a big part of the solution — with electric cars, and with renewable energy fuelling our economies — we will also  need  to nurture our soil and restore our land as key  parts of our efforts aimed at fighting climate change",Iceland,11,Climate Change and Renewable Energy
ISL,73,2018,"Already, all electricity and heating in Iceland is produced from renewable resources",Iceland,11,Climate Change and Renewable Energy
GUY,73,2018,"We are turning to renewable sources such as hydroelectricity, wind, solar and biomass",Guyana,11,Climate Change and Renewable Energy
BEL,73,2018,"The manipulation or rigging of elections, violations of territorial integrity and threats of the use of force are always early-warning signs of future conflict",Belgium,20,Election Interference
BEL,73,2018,The proliferation of nuclear and chemical weapons and weapons of mass destruction poses a serious threat to the future of humankind,Belgium,0,Nuclear Weapons
BEL,73,2018,The harmful effects of climate change are going to cause or aggravate conflicts,Belgium,11,Climate Change and Renewable Energy
WSM,73,2018,"Climate change also encompasses the breadth of security issues facing our blue Pacific region, including human security, environmental and resource security and transnational crime and cybersecurity",Samoa,11,Climate Change and Renewable Energy
WSM,73,2018,The Pacific region is already dealing with the destructive impact of climate change and disasters,Samoa,11,Climate Change and Renewable Energy
WSM,73,2018,A stable and resilient security  environment  provides the platform for achieving the region’s sustainable development aspirations,Samoa,10,Energy Security
MNG,73,2018,"Climate change is yet another daunting challenge for humankind today, along with peace, security and development issues",Mongolia,11,Climate Change and Renewable Energy
MNG,73,2018,"Global warming  and climate change impact all nations, and they are felt more intensely in the context of the economic and social development of the least- developed countries, landlocked developing countries and small  island  developing  States",Mongolia,11,Climate Change and Renewable Energy
VNM,73,2018,The effects of climate change and environmental pollution are widespread,Viet Nam,11,Climate Change and Renewable Energy
IRL,73,2018,"However, we also have a responsibility to remain ambitious in the pursuit   of the total elimination of nuclear weapons",Ireland,0,Nuclear Weapons
IRL,73,2018,I hope that our efforts to promote the adoption of the Treaty on the Prohibition of Nuclear Weapons will continue to reflect that,Ireland,0,Nuclear Weapons
IRL,73,2018,"The denial of climate change needs to end, and collective action on climate adaptation, as well as mitigation, needs to intensify",Ireland,11,Climate Change and Renewable Energy
MUS,73,2018,The stark effects of climate change are being felt all around the world,Mauritius,11,Climate Change and Renewable Energy
MUS,73,2018,The continued existence of nuclear arsenals and the threat of a nuclear disaster represents a major impediment to the maintenance of peace and security,Mauritius,0,Nuclear Weapons
PAK,73,2018,"That is evident in various ways, including by the introduction of destabilizing weapon systems, the pursuit of discriminatory approaches by certain States to supply advanced military hardware and sensitive technologies, and the adoption of offensive force postures and  doctrines that envisage a conflict beneath the nuclear threshold",Pakistan,0,Nuclear Weapons
PAK,73,2018,We must strike a prudent balance between guarding against the misuse of emerging technologies and facilitating access to them on the part of developing countries,Pakistan,8,General Emerging Technologies
PLW,73,2018,Climate change is the greatest challenge of our generation,Palau,11,Climate Change and Renewable Energy
PLW,73,2018,"Palau has developed a climate change policy framework with the aim of undertaking effective adaptation measures to deal with the expected effects of climate change, strengthen our capacity to prepare and minimize disaster risks and mitigate climate change by working towards low-carbon emission through clean energy initiatives",Palau,11,Climate Change and Renewable Energy
PLW,73,2018,"Earlier this year, we took a big step forward by enacting a law modernizing our electricity sector to enable it to make a rapid transition to renewable energy, and we now   have the enabling framework to trigger investments in transforming our economy so that it can harness the sun’s power",Palau,11,Climate Change and Renewable Energy
PLW,73,2018,We also recognize its support to the development of our information and communications technology sector through the World Bank,Palau,13,Financial Technology
PLW,73,2018,We remain committed to the need to ensure that nuclear weapons are never used again,Palau,0,Nuclear Weapons
PLW,73,2018,There is an inextricable connection between testing and the elimination of nuclear weapons,Palau,0,Nuclear Weapons
PLW,73,2018,"Nuclear tests have damaged the environment, human health, food security and economic development",Palau,0,Nuclear Weapons
PLW,73,2018,"Weapons of mass destruction have no place in this world, and we urge that efforts be  made to  achieve the complete, verifiable and irreversible dismantling of such weapons and ballistic missiles of all ranges by North Korea",Palau,0,Nuclear Weapons
BRA,73,2018,Over 40  per cent of Brazil’s energy portfolio is clean and renewable,Brazil,11,Climate Change and Renewable Energy
LBY,73,2018,"We fully endorse the relevant international treaties and conventions, cognizant of the fact that producing and stockpiling weapons of mass destruction is a threat to international peace and security, which horrifies all members of the human race",Libya,0,Nuclear Weapons
LBY,73,2018,"In this regard, I would like to recall that after joining the Chemical Weapons Convention, my country promptly addressed its chemical stock, in cooperation and coordination with the secretariat of the Convention and its international partners, which eventually led us to destroying our chemical stocks",Libya,2,Chemical Weapons
LBY,73,2018,“We reaffirm our support for international efforts aimed at establishing nuclear-weapon free zones,Libya,0,Nuclear Weapons
LBY,73,2018,All countries in the region must also join the Treaty on the Non-Proliferation of Nuclear Weapons,Libya,0,Nuclear Weapons
LBY,73,2018,"“At the same time, we would like to underscore the right of States to the peaceful use of nuclear energy",Libya,9,Nuclear Energy
LBY,73,2018,States that have abandoned weapons of mass destruction should be supported and encouraged to train people in the area of the peaceful use of nuclear energy so that they might acquire the necessary technical knowledge to pursue such uses,Libya,0,Nuclear Weapons
EU,73,2018,Europe has taken action against the increased use of disinformation and outside propaganda to interfere in open  and democratic  elections,,20,Election Interference
EU,73,2018,The  anonymity of cyberspace is used by external actors to cloak malicious political interference,,21,Cyber Espionage
DOM,73,2018,"For instance, we are planting millions of trees across our country and investing more than ever before in renewable energy",Dominican Republic,11,Climate Change and Renewable Energy
DOM,73,2018,"As in the case of climate change, it is the more developed countries with greater consumption capacity that must dedicate more resources, cooperation and political will if they truly wish to fight the problem with any hope of victory",Dominican Republic,11,Climate Change and Renewable Energy
CZE,73,2018,"We need  a  resolute  and  coordinated  approach to countering the proliferation of weapons of mass destruction, just as we do in fighting terrorism",Czechia,0,Nuclear Weapons
ESP,73,2018,Our future depends on renewable energy and clean technologies,Spain,11,Climate Change and Renewable Energy
ESP,73,2018,The growing tensions regarding nuclear proliferation and weapons of mass destruction are equally troubling,Spain,0,Nuclear Weapons
MRT,73,2018,We have mobilized our oversight institutions and  adopted  transparency in all financial transactions,Mauritania,13,Financial Technology
MRT,73,2018,"In order to mitigate the negative impact of climate change on economic growth and life in general, Mauritania has adopted a national policy designed to utilize renewable sources of energy",Mauritania,11,Climate Change and Renewable Energy
HTI,73,2018,Mobilizing new resources for climate change is a top priority,Haiti,11,Climate Change and Renewable Energy
MHL,73,2018,"For too many years, multilateral discussions to end nuclear weapons have gone in circles",Marshall Islands,0,Nuclear Weapons
MHL,73,2018,"Those were the only instances where the United Nations ever explicitly authorized the testing of nuclear weapons, and the consequences have been horrific",Marshall Islands,0,Nuclear Weapons
MHL,73,2018,The 67 nuclear weapons tests conducted between 1946 and 1958 have affected multiple generations,Marshall Islands,0,Nuclear Weapons
CAN,73,2018,"A significant component of the response to climate change requires new, greener and more resilient infrastructure",Canada,11,Climate Change and Renewable Energy
CAN,73,2018,"The White Helmets, many  of  whom  gathered  evidence of chemical-weapon attacks at the risk of their lives, rightly expect our support in seeking justice",Canada,2,Chemical Weapons
USA,73,2018,"Missiles and rockets are no longer flying in every direction, nuclear testing has stopped and some military facilities are already being dismantled",United States,0,Nuclear Weapons
USA,73,2018,"Rest assured, the United States will respond if chemical weapons are deployed by the Al-Assad regime",United States,2,Chemical Weapons
USA,73,2018,"They engage in relentless product dumping, forced technology transfer and the theft of intellectual property",United States,18,Technology Transfer
USA,73,2018,"In America, we believe strongly in energy security for ourselves and for our allies",United States,10,Energy Security
USA,73,2018,We have become the largest energy producer anywhere on the face of the Earth,United States,9,Nuclear Energy
MOZ,73,2018,"We have fostered the  use of renewable energies in rural areas, the sustainable management of natural resources,  the  conservation of ecosystems and biodiversity, and benefit-sharing",Mozambique,11,Climate Change and Renewable Energy
SDN,73,2018,The Sudan also plays a recognizedrole in promoting cooperation among African countries in the implementation of the Chemical Weapons Convention,Sudan,2,Chemical Weapons
TTO,73,2018,"On the issue of denuclearization, Trinidad and Tobago resolutely believes that the use or  the threat of use of nuclear weapons constitutes a crime against humanity and a violation of international law, including the principles of the Charter of the United Nations",Trinidad and Tobago,0,Nuclear Weapons
GAB,73,2018,The world is increasingly exposed to the harmful effects of climate change,Gabon,11,Climate Change and Renewable Energy
GAB,73,2018,Climate change is a reality that impacts our daily lives,Gabon,11,Climate Change and Renewable Energy
THA,73,2018,South-East Asia has taken that first step towards a nuclear-weapon-free region,Thailand,0,Nuclear Weapons
THA,73,2018,We are also working on raising public awareness of climate change,Thailand,11,Climate Change and Renewable Energy
PRY,73,2018,"With that purpose in mind, we are initiating a process for the profound transformation of our education policies that will enable us to bring children and young people into the education system, with a special emphasis on training teachers and professors",Paraguay,15,Technology in Education
PRY,73,2018,"As a priority,  climate  change  is  unquestionably a global challenge",Paraguay,11,Climate Change and Renewable Energy
PRY,73,2018,We believe that the Arms Trade Treaty and the Treaty on the Prohibition of Nuclear Weapons represent major steps towards disarmament and non-proliferation,Paraguay,0,Nuclear Weapons
PRY,73,2018,"We therefore call for that global partnership to mobilize the resources necessary for its full implementation, including technology transfers, knowledge-sharing and capacity-building, particularly as they  relate  to  developing  countries",Paraguay,17,Technology Capacity Building
VAT,73,2018,"The proliferation of weapons, in fact, aggravates conflicts and generates vast human and material costs, hindering human and economic development and the search for lasting peace",Holy See (Vatican City State),0,Nuclear Weapons
NPL,73,2018,"The impact of climate change burdens the poorest and most vulnerable countries, like my own country, Nepal, despite their negligible emissions of greenhouse gases",Nepal,11,Climate Change and Renewable Energy
NPL,73,2018,"The frontiers of technology are ever expanding, and they have been a major driving force for societal transformation",Nepal,18,Technology Transfer
NPL,73,2018,"But the digital dividend is unevenly distributed, and the digital divide is widening",Nepal,16,Digital Divide
NPL,73,2018,Technology has been a powerful agent of change and transformation,Nepal,18,Technology Transfer
NPL,73,2018,"At the same time, the technological revolution is disruptive",Nepal,18,Technology Transfer
NPL,73,2018,We must create an environment that can ensure easy access to affordable technology and remove barriers preventing their transfer,Nepal,18,Technology Transfer
STP,73,2018,We are confronted every day with the devastating effects of climate change around the world,Sao Tome and Principe,11,Climate Change and Renewable Energy
GRD,73,2018,Being climate-smart goes beyond policies,Grenada,11,Climate Change and Renewable Energy
GRD,73,2018,It means that the region  can also  serve  as a global beacon for renewable energy and energy efficiency,Grenada,11,Climate Change and Renewable Energy
GRD,73,2018,"We aim to be resilient, and with our region’s tremendous potential in hydroelectricity and geothermal energy, we could also be  climate-smart",Grenada,11,Climate Change and Renewable Energy
GRD,73,2018,"The road to climate-smart sustainability is long and arduous, but it is not insurmountable, and we must ensure that we are strategic on that journey",Grenada,11,Climate Change and Renewable Energy
GRD,73,2018,Grenada’s position on the development of nuclear weapons is clear,Grenada,0,Nuclear Weapons
MWI,73,2018,"The consequences of climate change are real, devastating and often tragic on a large scale",Malawi,11,Climate Change and Renewable Energy
IRN,73,2018,"Our respect for the Treaty on the Non-Proliferation of Nuclear Weapons and the long and difficult negotiations with the five plus one group, which led to the conclusion of the Joint Comprehensive Plan of Action, is a clear illustration of that approach","Iran, Islamic Republic of",0,Nuclear Weapons
IRN,73,2018,"Moreover, the United States  also  pressures  other countries to violate the nuclear accord","Iran, Islamic Republic of",0,Nuclear Weapons
IRN,73,2018,We consider nuclear knowledge an imperative and nuclear weapons prohibited,"Iran, Islamic Republic of",0,Nuclear Weapons
IRN,73,2018,"Israel,  equipped  with a nuclear arsenal and blatantly threatening  others  with nuclear annihilation, presents the most daunting threat to regional and global peace and stability","Iran, Islamic Republic of",0,Nuclear Weapons
MNE,73,2018,"I am certain that through the consistent application of the relevant treaties on nuclear disarmament and arms control, we can achieve a nuclear-weapon-free world",Montenegro,0,Nuclear Weapons
BIH,73,2018,"Concerted efforts and the alliance of all nations are necessary to contain the risks of nuclear confrontation and successfully address global issues such as gender equality, climate change or the prosecution of war criminals at the international level",Bosnia and Herzegovina,0,Nuclear Weapons
MLT,73,2018,We are currently in exciting technological times,Malta,8,General Emerging Technologies
MLT,73,2018,We can make sure that people are not deprived of their legitimate property because of compromised data,Malta,6,Data Security
IRQ,73,2018,"We stress the importance  of ensuring that the international community continues to act to completely eliminate nuclear weapons and weapons of mass destruction, with a view to guaranteeing the safety and security of future generations",Iraq,0,Nuclear Weapons
DMA,73,2018,"Climate change arises from activities that support and reflect inequalities, and it is always the poor who suffer the most",Dominica,11,Climate Change and Renewable Energy
DMA,73,2018,"Climate change is the main symptom of our world’s broken economy, society and humanity",Dominica,11,Climate Change and Renewable Energy
DMA,73,2018,"While we pontificate and engage in a perpetual debate, climate change will march on, laying waste  to  our  forests and fields, whipping up the fury of angry winds and punishing rains and wrecking lives and  livelihoods",Dominica,11,Climate Change and Renewable Energy
DMA,73,2018,Yet the price of the production and consumption  of  goods that contribute to climate change has not been set to compensate us for our losses and damages resulting from that change,Dominica,11,Climate Change and Renewable Energy
DMA,73,2018,Climate change is not a freak of nature,Dominica,11,Climate Change and Renewable Energy
DMA,73,2018,"That is what the international community must do, if it is serious about halting climate change",Dominica,11,Climate Change and Renewable Energy
DMA,73,2018,"As we battle the effects of  climate change,  we  are supremely conscious that there are many other challenges confronting our region and the wider world",Dominica,11,Climate Change and Renewable Energy
DMA,73,2018,That further underscores the fact that the emerging problems  brought  on  by the effects of climate change require urgent global attention,Dominica,11,Climate Change and Renewable Energy
NGA,73,2018,Climate change remains one of the greatest challenges of our time,Nigeria,11,Climate Change and Renewable Energy
SEN,73,2018,"Furthermore, we must come to an agreement on issues related to climate change",Senegal,11,Climate Change and Renewable Energy
FJI,73,2018,We are building our future on that firm foundation of education,Fiji,15,Technology in Education
FJI,73,2018,The many disastrous effects of climate change that we are seeing in the South Pacific and around the world are well documented,Fiji,11,Climate Change and Renewable Energy
FJI,73,2018,"However, no Government can combat climate change alone",Fiji,11,Climate Change and Renewable Energy
PNG,73,2018,Such capacity-building support in our country will lead directly to business growth and the creation of more jobs for our people,Papua New Guinea,17,Technology Capacity Building
PNG,73,2018,"For our part, we are working towards signing the Treaty on the Prohibition of Nuclear Weapons",Papua New Guinea,0,Nuclear Weapons
SVK,73,2018,"At an amazing pace, we continue to develop technologies allowing us to connect, communicate and be closer globally",Slovakia,8,General Emerging Technologies
SVK,73,2018,The threat of nuclear weapons resonates much more often than we could have imagined in the recent years,Slovakia,0,Nuclear Weapons
SVK,73,2018,Any use of chemical weapons must be a red line and not tolerated — an automatic trigger for resolute action,Slovakia,2,Chemical Weapons
SVK,73,2018,It is therefore shameful to see the tyrannical regime in Syria repeatedly use chemical weapons against its own citizens for the sake of survival,Slovakia,2,Chemical Weapons
SVK,73,2018,The unprecedented progress and innovation of new technology brings with it new challenges,Slovakia,8,General Emerging Technologies
SVK,73,2018,I am very concerned about malicious activities in cyberspace,Slovakia,19,Cyberattacks and Offensive Cyber
NIC,73,2018,We have therefore signed and ratified the recent Treaty on the Prohibition of Nuclear Weapons and call on countries to ratify that historic Treaty,Nicaragua,0,Nuclear Weapons
NIC,73,2018,"The Government of the Republic of Nicaragua hopes that nuclear weapons will be dismantled in a complete, verifiable and irreversible manner, and that the countries involved will cooperate and consequently ensure firm and lasting peace on the Korean peninsula",Nicaragua,0,Nuclear Weapons
NIC,73,2018,We need urgent  action  to  combat climate change,Nicaragua,11,Climate Change and Renewable Energy
NZL,73,2018,"For those who live in the South Pacific, the impacts of climate change are not academic, or even arguable",New Zealand,11,Climate Change and Renewable Energy
NZL,73,2018,The threat that climate change poses demands it,New Zealand,11,Climate Change and Renewable Energy
UGA,73,2018,Climate  change  remains  a   major   challenge and a threat to our efforts to achieve sustainable development,Uganda,11,Climate Change and Renewable Energy
TGO,73,2018,"The challenges of climate change are vital, and our response must not wait",Togo,11,Climate Change and Renewable Energy
AUS,73,2018,"Given that reality, we  must redouble our efforts  to prevent nuclear proliferation and to build the international trust and confidence necessary to move towards a world free of nuclear weapons",Australia,0,Nuclear Weapons
AUS,73,2018,"Our peoples expect us to continue to work towards verifiable nuclear disarmament with sound compliance, safeguards and enforcement regimes",Australia,0,Nuclear Weapons
AUS,73,2018,"Overwhelmingly, our peoples expect us to prevent further proliferation of nuclear weapons",Australia,0,Nuclear Weapons
AUS,73,2018,"To do that, we must  continue to  build  on the progress we have made through the Treaty on the Non-Proliferation of Nuclear Weapons",Australia,0,Nuclear Weapons
AUS,73,2018,It is in our collective interest that controls on Iran’s nuclear programme remain in place,Australia,0,Nuclear Weapons
AUS,73,2018,"In addition, we have most recently witnessed a new pattern of indiscriminate slaughter through the  use  of chemical weapons, including the weaponization of toxic industrial chemicals such as chlorine",Australia,2,Chemical Weapons
